Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	lion	mountain_lion	0.3681	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	15000	lion	mountain_lion	0.3848	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	15000	lion	mountain_lion	0.5306	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	15000	lion	mountain_lion	0.5247	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	15000	lion	mountain_lion	0.6133	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	12.0
6	Spectrogram 1	1	15.0	18.0	0	15000	lion	mountain_lion	0.6543	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	15.0
7	Spectrogram 1	1	18.0	21.0	0	15000	lion	mountain_lion	0.5568	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	18.0
8	Spectrogram 1	1	21.0	24.0	0	15000	lion	mountain_lion	0.5860	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	21.0
9	Spectrogram 1	1	24.0	27.0	0	15000	lion	mountain_lion	0.4545	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	24.0
10	Spectrogram 1	1	27.0	30.0	0	15000	lion	mountain_lion	0.4062	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	27.0
11	Spectrogram 1	1	30.0	33.0	0	15000	lion	mountain_lion	0.4644	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	30.0
12	Spectrogram 1	1	33.0	36.0	0	15000	lion	mountain_lion	0.4042	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	33.0
13	Spectrogram 1	1	36.0	38.01	0	15000	lion	mountain_lion	0.2808	/Users/vpartain/Desktop/WIP/my_dataset/mountain_lion/rawaudio1.wav	36.0
